s_val,param,coef,se,p
1.0,Intercept,10.784674359904015,0.010891361005333083,0.0
1.0,pct_face,-0.23516304296504872,0.05439204749922578,1.0651525706525797e-05
1.0,"np.power(pct_face, 2)",-0.10072749747323914,0.05757070589533801,0.050109556767820904
2.0,Intercept,13.019764869194935,0.0064023244541926445,0.0
2.0,pct_face,-0.6973770517668464,0.02926717003357685,4.257583402671109e-143
2.0,"np.power(pct_face, 2)",-0.44357231108315476,0.030799097971631762,1.627004898572683e-64
3.0,Intercept,13.699625660577398,0.004687473138895616,0.0
3.0,pct_face,-0.23479626236522422,0.025809504288298642,5.916096844935886e-20
3.0,"np.power(pct_face, 2)",-0.6684811774053312,0.03009214620860727,1.7594267266719675e-156
